f,m,n,declension
Abantēa,Abantēus,Abantēum,I_II
abdita,abditus,abditum,I_II
abhorrēns,abhorrēns,abhorrēns,III
abiecta,abiectus,abiectum,I_II
abiēgna,abiēgnus,abiēgnum,I_II
abnōrmis,abnōrmis,abnōrme,III
abortīva,abortīvus,abortīvum,I_II
abrupta,abruptus,abruptum,I_II
abscīsa,abscīsus,abscīsum,I_II
abscondita,absconditus,absconditum,I_II
absēns,absēns,absēns,III
absimilis,absimilis,absimile,III
absolūta,absolūtus,absolūtum,I_II
absona,absonus,absonum,I_II
abstēmia,abstēmius,abstēmium,I_II
abstinēns,abstinēns,abstinēns,III
abstrūsa,abstrūsus,abstrūsum,I_II
absurda,absurdus,absurdum,I_II
abundāns,abundāns,abundāns,III
Abȳdēna,Abȳdēnus,Abȳdēnum,I_II
Acadēmica,Acadēmicus,Acadēmicum,I_II
Acarnānica,Acarnānicus,Acarnānicum,I_II
accepta,acceptus,acceptum,I_II
Acciāna,Acciānus,Acciānum,I_II
accīsa,accīsus,accīsum,I_II
acclīnāta,acclīnātus,acclīnātum,I_II
acclīnis,acclīnis,acclīne,III
acclīvis,acclīvis,acclīve,III
accommodāta,accommodātus,accommodātum,I_II
accommoda,accommodus,accommodum,I_II
accūrāta,accūrātus,accūrātum,I_II
accūsābilis,accūsābilis,accūsābile,III
accūsātōria,accūsātōrius,accūsātōrium,I_II
ācer,ācer,ācer,III
acerba,acerbus,acerbum,I_II
acerna,acernus,acernum,I_II
acervālis,acervālis,acervāle,III
Achaemenia,Achaemenius,Achaemenium,I_II
Achāica,Achāicus,Achāicum,I_II
Achāis,Achāis,Achāe,III
Achāia,Achāius,Achāium,I_II
Acharnāna,Acharnānus,Acharnānum,I_II
Achelōia,Achelōius,Achelōium,I_II
Acherūsīa,Acherūsīus,Acherūsīum,I_II
Achillēa,Achillēus,Achillēum,I_II
Achīva,Achīvus,Achīvum,I_II
acida,acidus,acidum,I_II
ācricula,ācriculus,ācriculum,I_II
Acrisiōnēa,Acrisiōnēus,Acrisiōnēum,I_II
Actaea,Actaeus,Actaeum,I_II
Actiaca,Actiacus,Actiacum,I_II
Actias,Actias,Actias,III
Actia,Actius,Actium,I_II
āctuāria,āctuārius,āctuārium,I_II
āctuōsa,āctuōsus,āctuōsum,I_II
aculeāta,aculeātus,aculeātum,I_II
acūtula,acūtulus,acūtulum,I_II
acūta,acūtus,acūtum,I_II
adamantēa,adamantēus,adamantēum,I_II
adamantina,adamantinus,adamantinum,I_II
adapertilis,adapertilis,adapertile,III
adaperta,adapertus,adapertum,I_II
adducta,adductus,adductum,I_II
adfābilis,adfābilis,adfābile,III
adfecta,adfectus,adfectum,I_II
adfīnis,adfīnis,adfīne,III
adfīxa,adfīxus,adfīxum,I_II
adflīcta,adflīctus,adflīctum,I_II
adfluēns,adfluēns,adfluēns,III
adipāta,adipātus,adipātum,I_II
adiūncta,adiūnctus,adiūnctum,I_II
admīrābilis,admīrābilis,admīrābile,III
admīranda,admīrandus,admīrandum,I_II
adoptīva,adoptīvus,adoptīvum,I_II
adōrea,adōreus,adōreum,I_II
adrēcta,adrēctus,adrēctum,I_II
adrogāns,adrogāns,adrogāns,III
adsidua,adsiduus,adsiduum,I_II
adsimilis,adsimilis,adsimile,III
adsimulāta,adsimulātus,adsimulātum,I_II
adsuēta,adsuētus,adsuētum,I_II
adsūmptīva,adsūmptīvus,adsūmptīvum,I_II
adūlātōria,adūlātōrius,adūlātōrium,I_II
adultera,adulter,adulterum,I_II
adulterīna,adulterīnus,adulterīnum,I_II
adulta,adultus,adultum,I_II
adumbrāta,adumbrātus,adumbrātum,I_II
adunca,aduncus,aduncum,I_II
adūsta,adūstus,adūstum,I_II
advectīcia,advectīcius,advectīcium,I_II
adventīcia,adventīcius,adventīcium,I_II
adversāria,adversārius,adversārium,I_II
adversa,adversus,adversum,I_II
aedīlīcia,aedīlīcius,aedīlīcium,I_II
aeditima,aeditimus,aeditimum,I_II
Aegaea,Aegaeus,Aegaeum,I_II
aegera,aeger,aegerum,I_II
aegrōta,aegrōtus,aegrōtum,I_II
Aegyptia,Aegyptius,Aegyptium,I_II
aemula,aemulus,aemulum,I_II
Aenēia,Aenēius,Aenēium,I_II
aēneüsa,aēneüs,aēneüsum,I_II
aēnipēs,aēnipēs,aēnipēs,III
aēna,aēnus,aēnum,I_II
Aeolia,Aeolius,Aeolium,I_II
aequābilis,aequābilis,aequābile,III
aequaeva,aequaevus,aequaevum,I_II
aequālis,aequālis,aequāle,III
aequāta,aequātus,aequātum,I_II
aequinoctiālis,aequinoctiālis,aequinoctiāle,III
aequorea,aequoreus,aequoreum,I_II
aequa,aequus,aequum,I_II
aerāria,aerārius,aerārium,I_II
aerāta,aerātus,aerātum,I_II
aerea,aereus,aereum,I_II
aerifera,aerifer,aeriferum,I_II
aeripēs,aeripēs,aeripēs,III
aerumnōsa,aerumnōsus,aerumnōsum,I_II
aesculea,aesculeus,aesculeum,I_II
Aesōpia,Aesōpius,Aesōpium,I_II
aestifera,aestifer,aestiferum,I_II
aestimābilis,aestimābilis,aestimābile,III
aestīva,aestīvus,aestīvum,I_II
aestuōsa,aestuōsus,aestuōsum,I_II
aeterna,aeternus,aeternum,I_II
aetheria,aetherius,aetherium,I_II
Āfera,Āfer,Āferum,I_II
Āfricāna,Āfricānus,Āfricānum,I_II
Āfrica,Āfricus,Āfricum,I_II
agēns,agēns,agēns,III
agilis,agilis,agile,III
agitābilis,agitābilis,agitābile,III
Agōnālis,Agōnālis,Agōnāle,III
agrāria,agrārius,agrārium,I_II
agrestis,agrestis,agreste,III
alacera,alacer,alacerum,I_II
ālāris,ālāris,ālāre,III
ālāria,ālārius,ālārium,I_II
ālāta,ālātus,ālātum,I_II
albāta,albātus,albātum,I_II
albēns,albēns,albēns,III
albida,albidus,albidum,I_II
albula,albulus,albulum,I_II
alba,albus,album,I_II
āleātōria,āleātōrius,āleātōrium,I_II
āles,āles,āles,III
algida,algidus,algidum,I_II
āligera,āliger,āligerum,I_II
alimentāria,alimentārius,alimentārium,I_II
ālipēs,ālipēs,ālipēs,III
aliquanta,aliquantus,aliquantum,I_II
alia,alius,alium,I_II
Alliēnsis,Alliēnsis,Alliēnse,III
Allīfāna,Allīfānus,Allīfānum,I_II
alma,almus,almum,I_II
Alpīna,Alpīnus,Alpīnum,I_II
alterna,alternus,alternum,I_II
alterutera,alteruter,alteruterum,I_II
alticincta,alticinctus,alticinctum,I_II
altilis,altilis,altile,III
altisona,altisonus,altisonum,I_II
altitonāns,altitonāns,altitonāns,III
altivolāns,altivolāns,altivolāns,III
alta,altus,altum,I_II
amābilis,amābilis,amābile,III
amanda,amandus,amandum,I_II
amāns,amāns,amāns,III
amāra,amārus,amārum,I_II
amātōria,amātōrius,amātōrium,I_II
Amāzonia,Amāzonius,Amāzonium,I_II
ambigua,ambiguus,ambiguum,I_II
ambitiōsa,ambitiōsus,ambitiōsum,I_II
ambrosia,ambrosius,ambrosium,I_II
āmēns,āmēns,āmēns,III
āmentāta,āmentātus,āmentātum,I_II
Amerīna,Amerīnus,Amerīnum,I_II
amethystina,amethystinus,amethystinum,I_II
amīca,amīcus,amīcum,I_II
Amīnaea,Amīnaeus,Amīnaeum,I_II
amoena,amoenus,amoenum,I_II
Amphrȳsia,Amphrȳsius,Amphrȳsium,I_II
ampla,amplus,amplum,I_II
Anāgnīna,Anāgnīnus,Anāgnīnum,I_II
anapaesta,anapaestus,anapaestum,I_II
anceps,anceps,anceps,III
Anchīsēa,Anchīsēus,Anchīsēum,I_II
ancillāris,ancillāris,ancillāre,III
ancorāria,ancorārius,ancorārium,I_II
anguicoma,anguicomus,anguicomum,I_II
anguifera,anguifer,anguiferum,I_II
anguinea,anguineus,anguineum,I_II
anguīna,anguīnus,anguīnum,I_II
anguipēs,anguipēs,anguipēs,III
angulāta,angulātus,angulātum,I_II
angusta,angustus,angustum,I_II
anhēla,anhēlus,anhēlum,I_II
Aniēnsis,Aniēnsis,Aniēnse,III
anīlis,anīlis,anīle,III
animābilis,animābilis,animābile,III
animālis,animālis,animāle,III
animāns,animāns,animāns,III
animāta,animātus,animātum,I_II
animōsa,animōsus,animōsum,I_II
animōsa,animōsus,animōsum,I_II
annālis,annālis,annāle,III
annicula,anniculus,anniculum,I_II
annōsa,annōsus,annōsum,I_II
annōtina,annōtinus,annōtinum,I_II
annua,annuus,annuum,I_II
antecēdēns,antecēdēns,antecēdēns,III
antefīxa,antefīxus,antefīxum,I_II
antelūcāna,antelūcānus,antelūcānum,I_II
antemerīdiāna,antemerīdiānus,antemerīdiānum,I_II
antīca,antīcus,antīcum,I_II
antīqua,antīquus,antīquum,I_II
ānxifera,ānxifer,ānxiferum,I_II
ānxia,ānxius,ānxium,I_II
aperta,apertus,apertum,I_II
apicāta,apicātus,apicātum,I_II
Apollināris,Apollināris,Apollināre,III
apparāta,apparātus,apparātum,I_II
appārēns,appārēns,appārēns,III
Appennīnigenaa,Appennīnigena,Appennīnigenaum,I_II
appetēns,appetēns,appetēns,III
applicāta,applicātus,applicātum,I_II
apporrēcta,apporrēctus,apporrēctum,I_II
apposita,appositus,appositum,I_II
aprīca,aprīcus,aprīcum,I_II
Aprīlis,Aprīlis,Aprīle,III
aptāta,aptātus,aptātum,I_II
apta,aptus,aptum,I_II
aquāria,aquārius,aquārium,I_II
aquātica,aquāticus,aquāticum,I_II
aquātilis,aquātilis,aquātile,III
aquilōnia,aquilōnius,aquilōnium,I_II
Aquīnās,Aquīnās,Aquīnās,III
aquōsa,aquōsus,aquōsum,I_II
Arabs,Arabs,Arabs,III
arāneōsa,arāneōsus,arāneōsum,I_II
Arātēa,Arātēus,Arātēum,I_II
arbusta,arbustus,arbustum,I_II
arbuteüsa,arbuteüs,arbuteüsum,I_II
Arcadica,Arcadicus,Arcadicum,I_II
arcāna,arcānus,arcānum,I_II
Arcas,Arcas,Arcas,III
archetypa,archetypus,archetypum,I_II
Archiaca,Archiacus,Archiacum,I_II
Archilochīa,Archilochīus,Archilochīum,I_II
Arcitenēns,Arcitenēns,Arcitenēns,III
arcuāta,arcuātus,arcuātum,I_II
ārdēns,ārdēns,ārdēns,III
ardua,arduus,arduum,I_II
argentāria,argentārius,argentārium,I_II
argentāta,argentātus,argentātum,I_II
argentea,argenteus,argenteum,I_II
argūtula,argūtulus,argūtulum,I_II
argūta,argūtus,argūtum,I_II
āridula,āridulus,āridulum,I_II
ārida,āridus,āridum,I_II
armāta,armātus,armātum,I_II
armentālis,armentālis,armentāle,III
armifera,armifer,armiferum,I_II
armillāta,armillātus,armillātum,I_II
armipotēns,armipotēns,armipotēns,III
armisona,armisonus,armisonum,I_II
arthrītica,arthrīticus,arthrīticum,I_II
artificiōsa,artificiōsus,artificiōsum,I_II
arta,artus,artum,I_II
arva,arvus,arvum,I_II
ascīta,ascītus,ascītum,I_II
ascrīptīcia,ascrīptīcius,ascrīptīcium,I_II
aspectābilis,aspectābilis,aspectābile,III
aspera,asper,asperum,I_II
āssa,āssus,āssum,I_II
astricta,astrictus,astrictum,I_II
astūta,astūtus,astūtum,I_II
asumbola,asumbolus,asumbolum,I_II
Ātellāna,Ātellānus,Ātellānum,I_II
ātera,āter,āterum,I_II
ātrāta,ātrātus,ātrātum,I_II
atrōx,atrōx,atrōx,III
Attalica,Attalicus,Attalicum,I_II
attenta,attentus,attentum,I_II
attenuāta,attenuātus,attenuātum,I_II
Attica,Atticus,Atticum,I_II
attonita,attonitus,attonitum,I_II
attrīta,attrītus,attrītum,I_II
auctiōnāria,auctiōnārius,auctiōnārium,I_II
audāx,audāx,audāx,III
audēns,audēns,audēns,III
audienda,audiendus,audiendum,I_II
audiēns,audiēns,audiēns,III
augurālis,augurālis,augurāle,III
auguria,augurius,augurium,I_II
augusta,augustus,augustum,I_II
aurāta,aurātus,aurātum,I_II
aureola,aureolus,aureolum,I_II
aurea,aureus,aureum,I_II
auricoma,auricomus,auricomum,I_II
aurifera,aurifer,auriferum,I_II
aurigera,auriger,aurigerum,I_II
aurīta,aurītus,aurītum,I_II
auspicāta,auspicātus,auspicātum,I_II
austēra,austērus,austērum,I_II
austrālis,austrālis,austrāle,III
austrīna,austrīnus,austrīnum,I_II
autumnālis,autumnālis,autumnāle,III
autumna,autumnus,autumnum,I_II
auxiliāris,auxiliāris,auxiliāre,III
auxiliāria,auxiliārius,auxiliārium,I_II
avāra,avārus,avārum,I_II
Avernālis,Avernālis,Avernāle,III
Averna,Avernus,Avernum,I_II
āversa,āversus,āversum,I_II
avida,avidus,avidum,I_II
avīta,avītus,avītum,I_II
āvia,āvius,āvium,I_II
bācāta,bācātus,bācātum,I_II
bacchābunda,bacchābundus,bacchābundum,I_II
bācifera,bācifer,bāciferum,I_II
Bactria,Bactrius,Bactrium,I_II
balba,balbus,balbum,I_II
balneāria,balneārius,balneārium,I_II
barbarica,barbaricus,barbaricum,I_II
barbara,barbarus,barbarum,I_II
barbātula,barbātulus,barbātulum,I_II
barbāta,barbātus,barbātum,I_II
barda,bardus,bardum,I_II
beāta,beātus,beātum,I_II
bellicōsa,bellicōsus,bellicōsum,I_II
bellica,bellicus,bellicum,I_II
belligera,belliger,belligerum,I_II
bellipotēns,bellipotēns,bellipotēns,III
bella,bellus,bellum,I_II
bēluōsa,bēluōsus,bēluōsum,I_II
benefica,beneficus,beneficum,I_II
benevolēns,benevolēns,benevolēns,III
benevola,benevolus,benevolum,I_II
benīgna,benīgnus,benīgnum,I_II
bibula,bibulus,bibulum,I_II
biceps,biceps,biceps,III
bicolor,bicolor,bicolor,III
bicornis,bicornis,bicorne,III
bicorpor,bicorpor,bicorpor,III
bidēns,bidēns,bidēns,III
bifera,bifer,biferum,I_II
bifida,bifidus,bifidum,I_II
biforis,biforis,bifore,III
bifōrmāta,bifōrmātus,bifōrmātum,I_II
bifōrmis,bifōrmis,bifōrme,III
bifrōns,bifrōns,bifrōns,III
bifurca,bifurcus,bifurcum,I_II
bīgāta,bīgātus,bīgātum,I_II
biiugis,biiugis,biiuge,III
biiuga,biiugus,biiugum,I_II
bilībris,bilībris,bilībre,III
bilinguis,bilinguis,bilingue,III
bilīx,bilīx,bilīx,III
bilūstris,bilūstris,bilūstre,III
bimaris,bimaris,bimare,III
bimembris,bimembris,bimembre,III
bimēstris,bimēstris,bimēstre,III
bīmula,bīmulus,bīmulum,I_II
bīma,bīmus,bīmum,I_II
Biōnēa,Biōnēus,Biōnēum,I_II
bipalmis,bipalmis,bipalme,III
bipartīta,bipartītus,bipartītum,I_II
bipatēns,bipatēns,bipatēns,III
bipedālis,bipedālis,bipedāle,III
bipennifera,bipennifer,bipenniferum,I_II
bipennis,bipennis,bipenne,III
bipēs,bipēs,bipēs,III
birēmis,birēmis,birēme,III
bisulca,bisulcus,bisulcum,I_II
bitūminea,bitūmineus,bitūmineum,I_II
bivia,bivius,bivium,I_II
blaesa,blaesus,blaesum,I_II
blandīta,blandītus,blandītum,I_II
blanda,blandus,blandum,I_II
boāria,boārius,boārium,I_II
Boeōtia,Boeōtius,Boeōtium,I_II
Boeōta,Boeōtus,Boeōtum,I_II
bombȳcina,bombȳcinus,bombȳcinum,I_II
bona,bonus,bonum,I_II
borēa,borēus,borēum,I_II
bovilla,bovillus,bovillum,I_II
brācāta,brācātus,brācātum,I_II
breviloquēns,breviloquēns,breviloquēns,III
brevis,brevis,breve,III
Britannica,Britannicus,Britannicum,I_II
Britanna,Britannus,Britannum,I_II
brūmālis,brūmālis,brūmāle,III
brūta,brūtus,brūtum,I_II
būbula,būbulus,būbulum,I_II
būcera,būcerus,būcerum,I_II
būcolica,būcolicus,būcolicum,I_II
bullāta,bullātus,bullātum,I_II
būstuāria,būstuārius,būstuārium,I_II
buxifera,buxifer,buxiferum,I_II
cadāverōsa,cadāverōsus,cadāverōsum,I_II
Cadmēa,Cadmēus,Cadmēum,I_II
cādūcifera,cādūcifer,cādūciferum,I_II
cadūca,cadūcus,cadūcum,I_II
Caecuba,Caecubus,Caecubum,I_II
caeca,caecus,caecum,I_II
caelebs,caelebs,caelebs,III
caelestis,caelestis,caeleste,III
caelifera,caelifer,caeliferum,I_II
caenōsa,caenōsus,caenōsum,I_II
Caeres,Caeres,Caeres,III
caerulea,caeruleus,caeruleum,I_II
caerula,caerulus,caerulum,I_II
caesia,caesius,caesium,I_II
caetrāta,caetrātus,caetrātum,I_II
calamistrāta,calamistrātus,calamistrātum,I_II
calamitōsa,calamitōsus,calamitōsum,I_II
calidusandcalda,calidusandcaldus,calidusandcaldum,I_II
caligāta,caligātus,caligātum,I_II
cālīginōsa,cālīginōsus,cālīginōsum,I_II
callida,callidus,callidum,I_II
callōsa,callōsus,callōsum,I_II
calva,calvus,calvum,I_II
campester,campester,campester,III
candēns,candēns,candēns,III
candidātōria,candidātōrius,candidātōrium,I_II
candidula,candidulus,candidulum,I_II
candida,candidus,candidum,I_II
cānēns,cānēns,cānēns,III
canīna,canīnus,canīnum,I_II
Cannēnsis,Cannēnsis,Cannēnse,III
canōra,canōrus,canōrum,I_II
cāna,cānus,cānum,I_II
capāx,capāx,capāx,III
capillāta,capillātus,capillātum,I_II
capistrāta,capistrātus,capistrātum,I_II
capitālis,capitālis,capitāle,III
Capitōlīna,Capitōlīnus,Capitōlīnum,I_II
capitulātima,capitulātim,capitulātimum,I_II
caprigena,caprigenus,caprigenum,I_II
caprīna,caprīnus,caprīnum,I_II
capripēs,capripēs,capripēs,III
captiōsa,captiōsus,captiōsum,I_II
captīva,captīvus,captīvum,I_II
carbasea,carbaseus,carbaseum,I_II
cardiaca,cardiacus,cardiacum,I_II
cariōsa,cariōsus,cariōsum,I_II
Carmentālis,Carmentālis,Carmentāle,III
carpatina,carpatinus,carpatinum,I_II
cāra,cārus,cārum,I_II
casca,cascus,cascum,I_II
cassa,cassus,cassum,I_II
Castalia,Castalius,Castalium,I_II
castellāna,castellānus,castellānum,I_II
castigata,castigatus,castigatum,I_II
castrēnsis,castrēnsis,castrēnse,III
casta,castus,castum,I_II
catagrapha,catagraphus,catagraphum,I_II
cataphracta,cataphractus,cataphractum,I_II
catēnāta,catēnātus,catēnātum,I_II
cata,catus,catum,I_II
cauta,cautus,cautum,I_II
cavāta,cavātus,cavātum,I_II
cava,cavus,cavum,I_II
celebera,celeber,celeberum,I_II
celebrāta,celebrātus,celebrātum,I_II
celer,celer,celer,III
celeripēs,celeripēs,celeripēs,III
celsa,celsus,celsum,I_II
