nominative,genitive,gender,declension
abacus,abacī,m,II
abaliēnātiō,abaliēnātiīnis,f,III
Abantiadēs,Abantiadēsae,m,I
abavus,abavī,m,II
abdicātiō,abdicātiōnis,f,III
abdōmen,abdōmeninis,n,III
Abella,Abellae,f,I
aberrātiō,aberrātiōnis,f,III
abiectiō,abiectiōnis,f,III
abiēs,abietis,f,III
abitiō,abitiōnis,f,III
abitus,abitūs,m,IV
ablēgātiō,ablēgātiōnis,f,III
abolitiō,abolitiōnis,f,III
abolla,abollae,f,I
abortiō,abortiōnis,f,III
abortus,abortūs,m,IV
abrogātiō,abrogātiōnis,f,III
abrotonum,abrotonī,n,II
abruptiō,abruptiōnis,f,III
abscessiō,abscessiōnis,f,III
abscessus,abscessūs,m,IV
abscīsiō,abscīsiōnis,f,III
absentia,absentiae,f,I
absolūtiō,absolūtiōnis,f,III
abstinentia,abstinentiae,f,I
abundantia,abundantiae,f,I
abūsiō,abūsiōnis,f,III
abūsus,abūsūs,m,IV
Acadēmīa,Acadēmīae,f,I
Acadēmicus,Acadēmicī,m,II
Acadēmus,Acadēmī,m,II
acalanthis,acalanthidis,f,III
acanthus,acanthī,m,II
Acbarus,Acbarī,m,II
accelerātiō,accelerātiōnis,f,III
accēnsus,accēnsī,m,II
acceptiō,acceptiōnis,f,III
acceptum,acceptī,n,II
accessiō,accessiōnis,f,III
accessus,accessūs,m,IV
accipiter,accipitertris,m,III
acclāmātiō,acclāmātiōnis,f,III
acclīvitās,acclīvitātis,f,III
accola,accolae,m,I
accommodātiō,accommodātiōnis,f,III
accrētiō,accrētiōnis,f,III
accubitiō,accubitiōnis,f,III
accumulator,accumulatōris,m,III
accūrātiō,accūrātiōnis,f,III
accursus,accursūs,m,IV
accūsātiō,accūsātiōnis,f,III
accūsātor,accūsātōris,m,III
acer,acereris,n,III
acerbitās,acerbitātis,f,III
acerra,acerrae,f,I
acersecomēs,acersecomēsae,m,I
acervus,acervī,m,II
acētum,acētī,n,II
Achaemenēs,Achaemenīs,m,III
Acherōn,Acherōntis,m,III
Acherūns,Acherūnuntis,m,III
Achillēs,Achillis,m,III
Acīdalia,Acīdaliae,f,I
aciēs,aciēsēī,f,V
acīnacēs,acīnacis,m,III
acinus,acinī,m,II
acinum,acinī,n,II
acipēnser,acipēnsereris,m,III
āclys,āclyydis,f,III
acoenonoētus,acoenonoētī,m,II
aconītum,aconītī,n,II
Acragas,Acragaantis,m,III
acrātophoron,acrātophoronī,n,II
acrēdula,acrēdulae,f,I
ācrimōnia,ācrimōniae,f,I
Ācrisiōniadēs,Ācrisiōniadēsae,n,I
Ācrisius,Ācrisiī,m,II
acroāma,acroāmaatis,n,III
acroāsis,acroāsis,f,III
acta,actae,f,I
Actaeōn,Actaeōnonis,m,III
āctiō,āctiōnis,f,III
Actium,Actiī,n,II
āctor,āctōris,m,III
āctuāria,āctuāriae,f,I
āctuāriola,āctuāriolae,f,I
āctum,āctī,n,II
āctus,āctūs,m,IV
aculeus,aculeī,m,II
acūmen,acūmeninis,n,III
acus,acūs,f,IV
adāctiō,adāctiōnis,f,III
adamās,adamantis,m,III
addictiō,addictiōnis,f,III
additāmentum,additāmentī,n,II
adēmptiō,adēmptiōnis,f,III
adeptiō,adeptiōnis,f,III
adfābilitās,adfābilitātis,f,III
adfectātiō,adfectātiōnis,f,III
adfectiō,adfectiōnis,f,III
adfectus,adfectūs,m,IV
adfīnis,adfīnis,m,III
adfīnitās,adfīnitātis,f,III
adfīrmātiō,adfīrmātiōnis,f,III
adflātus,adflātūs,m,IV
adflīctātiō,adflīctātiōnis,f,III
adflīctor,adflīctōris,m,III
adfluentia,adfluentiae,f,I
adhaesiō,adhaesiōnis,f,III
adhortātiō,adhortātiōnis,f,III
adhortātor,adhortātōris,m,III
adiectiō,adiectiōnis,f,III
aditus,aditūs,m,IV
adiūmentum,adiūmentī,n,II
adiūnctiō,adiūnctiōnis,f,III
adiūnctor,adiūnctōris,m,III
adiūtor,adiūtōris,m,III
adiūtrīx,adiūtrīīcis,f,III
adlapsus,adlapsūs,m,IV
adlēgātiō,adlēgātiōnis,f,III
adlevāmentum,adlevāmentī,n,II
adlevātiō,adlevātiōnis,f,III
adlocūtiō,adlocūtiōnis,f,III
adloquium,adloquiī,n,II
adluviō,adluviōnis,f,III
adminiculum,adminiculī,n,II
administra,administrae,f,I
administrātiō,administrātiōnis,f,III
administrātor,administrātōris,m,III
admīrābilitās,admīrābilitātis,f,III
admīrātiō,admīrātiōnis,f,III
admīrātor,admīrātōris,m,III
admissārius,admissāriī,m,II
admissum,admissī,n,II
admīxtiō,admīxtiōnis,f,III
admonitiō,admonitiōnis,f,III
admonitor,admonitōris,m,III
admonitum,admonitī,n,II
admōtiō,admōtiōnis,f,III
admurmurātiō,admurmurātiōnis,f,III
Adōnis,Adōnis,m,III
adoptātiō,adoptātiōnis,f,III
ādoptiō,ādoptiōnis,f,III
adrīsiō,adrīsiōnis,f,III
adrogantia,adrogantiae,f,I
adsecla,adseclae,m,I
adsectātiō,adsectātiōnis,f,III
adsectātor,adsectātōris,m,III
adsecula,adseculae,m,I
adsēnsiō,adsēnsiōnis,f,III
adsēnsor,adsēnsōris,m,III
adsēnsus,adsēnsūs,m,IV
adsentātiō,adsentātiōnis,f,III
adsentātiuncula,adsentātiunculae,f,I
adsentātor,adsentātōris,m,III
adsertor,adsertōris,m,III
adsessiō,adsessiōnis,f,III
adsessor,adsessōris,m,III
adsessus,adsessūs,m,IV
adsevērātiō,adsevērātiōnis,f,III
adsiduitās,adsiduitātis,f,III
adsīgnātiō,adsīgnātiōnis,f,III
adsimulātiō,adsimulātiōnis,f,III
adsuētūdō,adsuētūdinis,f,III
adsultus,adsultūs,m,IV
adsūmptiō,adsūmptiōnis,f,III
adūlāns,adūlānntis,m,III
adūlātiō,adūlātiōnis,f,III
adūlātor,adūlātōris,m,III
adulēscentula,adulēscentulae,f,I
adulēscentulus,adulēscentulī,m,II
adulterium,adulteriī,n,II
adumbrātiō,adumbrātiōnis,f,III
aduncitās,aduncitātis,f,III
advectus,advectūs,m,IV
advena,advenae,m,I
adventus,adventūs,m,IV
adversātrīx,adversātrīīcis,f,III
adversiō,adversiōnis,f,III
adversum,adversī,n,II
adversus,adversī,m,II
adversum,adversī,n,II
advocāta,advocātae,f,I
advocātiō,advocātiōnis,f,III
advocātus,advocātī,m,II
advolātus,advolātūs,m,IV
adytum,adytī,n,II
aedēs,aedis,f,III
aedēs,aedēsaedium,f,I
aedicula,aediculae,f,I
aedificātiō,aedificātiōnis,f,III
aedificātiuncula,aedificātiunculae,f,I
aedificātor,aedificātōris,m,III
aedificium,aedificiī,n,II
aedīlis,aedīlis,m,III
aedīlitās,aedīlitātis,f,III
aedis,aedis,f,III
aedituus,aedituī,m,II
aegis,aegidis,f,III
aegrimōnia,aegrimōniae,f,I
aegritūdō,aegritūddinis,f,III
aegrōtātiō,aegrōtātiōnis,f,III
aelinos,aelinosī,m,II
aemulātiō,aemulātiōnis,f,III
aemulātor,aemulātōris,m,III
aemulātus,aemulātūs,m,IV
aenigma,aenigmaatis,n,III
aequābilitās,aequābilitātis,f,III
aequālitās,aequālitātis,f,III
aequanimitās,aequanimitātis,f,III
aequātiō,aequātiōnis,f,III
aequilībritās,aequilībritātis,f,III
aequinoctium,aequinoctiī,n,II
aequitās,aequitātis,f,III
aequor,aequoris,n,III
aequum,aequī,n,II
āēr,āērāeris,m,I
aerāria,aerāriae,f,I
aerārium,aerāriī,n,II
aerārius,aerāriī,m,II
aerūgō,aerūginis,f,III
aerumna,aerumnae,f,I
aes,aesaeris,n,I
aesculētum,aesculētī,n,II
aesculus,aesculī,f,II
aestās,aestātis,f,III
aestimātiō,aestimātiōnis,f,III
aestimātor,aestimātōris,m,III
aestuārium,aestuāriī,n,II
aestus,aestūs,m,IV
aetās,aetātis,f,III
aetātula,aetātulae,f,I
aeternitās,aeternitātis,f,III
aethēr,aethēreris,m,III
Aethiops,Aethiopopis,m,III
aethra,aethrae,f,I
aevitās,aevitātis,f,III
aevum,aevī,n,II
Āfrica,Āfricae,f,I
agāsō,agāsōnis,m,III
agellulus,agellulī,m,II
agellus,agellī,m,II
agēma,agēmaatis,n,III
Agēnor,Agēnoris,m,III
agger,aggereris,m,III
aggestus,aggestūs,m,IV
aggressiō,aggressiōnis,f,III
agilitās,agilitātis,f,III
agitātiō,agitātiōnis,f,III
agitātor,agitātōris,m,III
āgmen,āgmeninis,n,III
āgna,āgnae,f,I
Āgnālia,Āgnāliaium,n,II
āgnātiō,āgnātiōnis,f,III
āgnātus,āgnātī,m,II
āgnīna,āgnīnae,f,I
āgnitiō,āgnitiōnis,f,III
āgnus,āgnī,m,II
agōnium,agōniī,n,II
agrāria,agrāriae,f,I
agrestis,agrestis,m,III
agricola,agricolae,m,I
agripeta,agripetae,m,I
Āius,Āiī,m,II
āla,ālae,f,I
alacritās,alacritātis,f,III
alapa,alapae,f,I
Alauda,Alaudae,m,I
Albula,Albulae,f,I
album,albī,n,II
alcēs,alcis,f,III
Alcīdēs,Alcīdēsae,m,I
Alcinous,Alcinoī,m,II
alea,aleae,f,I
āleātor,āleātōris,m,III
āleō,āleōnis,m,III
alga,algae,f,I
algor,algōris,m,III
aliēnātiō,aliēnātiōnis,f,III
aliēnigena,aliēnigenae,m,I
aliēnum,aliēnī,n,II
aliēnus,aliēnī,m,II
aliēnum,aliēnī,n,II
alimentum,alimentī,n,II
alimōnium,alimōniī,n,II
alīptēs,alīptēsae,m,I
aliquantulum,aliquantulī,n,II
aliquantum,aliquantī,n,II
ālium,āliī,n,II
allēc,allēcēcis,n,III
Allobrox,Allobroogis,m,III
alnus,alnī,f,II
altāria,altāriaium,n,II
altercātiō,altercātiōnis,f,III
altitūdō,altitūddinis,f,III
altor,altōris,m,III
altrīx,altrīīcis,f,III
altum,altī,n,II
alumna,alumnae,f,I
alumnus,alumnī,m,II
alūta,alūtae,f,I
alvārium,alvāriī,n,II
alveolus,alveolī,m,II
alveus,alveī,m,II
alvus,alvī,f,II
Alyattēs,Alyattēseī,m,V
āmandātiō,āmandātiōnis,f,III
amāracus,amāracī,f,II
amarantus,amarantī,n,II
amāror,amārōris,m,III
Amaryllis,Amaryllisidis,f,II
amāta,amātae,f,I
Amathūsia,Amathūsiae,f,I
amātor,amātōris,m,III
Amāzōn,Amāzōnonis,f,III
Amāzonis,Amāzonidis,f,III
ambactus,ambactī,m,II
ambiguitās,ambiguitātis,f,III
Ambiorīx,Ambiorīīgis,m,III
ambitiō,ambitiōnis,f,III
ambitus,ambitūs,m,IV
Ambracia,Ambraciae,f,I
ambrosia,ambrosiae,f,I
ambūbāia,ambūbāiae,f,I
ambulātiō,ambulātiōnis,f,III
amellus,amellī,m,II
āmentia,āmentiae,f,I
āmentum,āmentī,n,II
ames,ameitis,m,III
amethystos,amethystosī,f,II
amīca,amīcae,f,I
amīcitia,amīcitiae,f,I
amictus,amictūs,m,IV
amīcula,amīculae,f,I
amiculum,amiculī,n,II
amīculus,amīculī,m,II
amīcus,amīcī,m,II
āmissiō,āmissiōnis,f,III
āmissum,āmissī,n,II
āmissus,āmissūs,m,IV
amita,amitae,f,I
amnicola,amnicolae,m,I
amniculus,amniculī,m,II
amnis,amnis,m,III
amoenitās,amoenitātis,f,III
amōmum,amōmī,n,II
amor,amōris,m,III
āmōtiō,āmōtiōnis,f,III
amphibolia,amphiboliae,f,I
Amphīōn,Amphīōnonis,m,III
amphitheātrum,amphitheātrī,n,II
amphora,amphorae,f,I
Amphrȳsus,Amphrȳsī,m,II
amplexus,amplexūs,m,IV
amplificātiō,amplificātiōnis,f,III
amplificātor,amplificātōris,m,III
amplitūdō,amplitūdinis,f,III
Ampsānctus,Ampsānctī,m,II
ampulla,ampullae,f,I
amputātiō,amputātiōnis,f,III
amurca,amurcae,f,I
amygdalum,amygdalī,n,II
amystis,amystidis,f,III
anāgnōstēs,anāgnōstēsae,m,I
anas,anaanatis,f,III
anaticula,anaticulae,f,I
anatocismus,anatocismī,m,II
Anchīsēs,Anchīsēsae,m,I
Anchīsiadēs,Anchīsiadēsae,m,I
ancīle,ancīleis,n,III
ancilla,ancillae,f,I
ancillula,ancillulae,f,I
ancora,ancorae,f,I
ancorāle,ancorāleis,n,III
andabata,andabatae,m,I
androgynus,androgynī,m,II
ānellus,ānellī,m,II
anēthum,anēthī,n,II
ānfrāctus,ānfrāctūs,m,IV
angor,angōris,m,III
anguiculus,anguiculī,m,II
anguigena,anguigenae,m,I
anguilla,anguillae,f,I
Anguitenēns,Anguitenēnentis,m,III
angulus,angulī,m,II
angustia,angustiae,f,I
angustum,angustī,n,II
anhēlitus,anhēlitūs,m,IV
anicula,aniculae,f,I
anīlitās,anīlitātis,f,III
anima,animae,f,I
animadversiō,animadversiōnis,f,III
animadversor,animadversōris,m,III
animal,animalālis,n,III
animātiō,animātiōnis,f,III
animula,animulae,f,I
animus,animī,m,II
Aniō,Aniēnis,m,III
annālis,annālis,m,III
annōna,annōnae,f,I
annus,annī,m,II
ānsa,ānsae,f,I
ānser,ānsereris,m,III
antecessiō,antecessiōnis,f,III
antecursor,antecursōris,m,III
antemna,antemnae,f,I
anteoccupātiō,anteoccupātiōnis,f,III
antepēs,antepedis,m,III
antepīlānus,antepīlānī,m,II
antēs,antēsīum,m,II
antesīgnānus,antesīgnānī,m,II
anthias,anthiasae,m,I
anticipātiō,anticipātiōnis,f,III
antidotum,antidotī,n,II
antīquāria,antīquāriae,f,I
antiquarius,antiquariī,m,II
antīquitās,antīquitātis,f,III
antistes,antisteitis,m,III
antistita,antistitae,f,I
antrum,antrī,n,II
ānulārius,ānulāriī,m,II
ānulus,ānulī,m,II
ānus,ānī,m,II
anus,anūs,f,IV
ānxietās,ānxietātis,f,III
ānxitūdō,ānxitūddinis,f,III
apēliōtēs,apēliōtēsae,m,I
apex,apeicis,m,III
aphractus,aphractī,f,II
apis,apis,f,III
apium,apiī,n,II
